S	measure	min_value	threshold	precision	recall	npv	engine
SBS17	npv	0.9	15.7745	1	0.338278045156497	0.900000549142453	mlp
SBS18	precision	0.9	0.73626065	0.900000538123349	0.692600440343164	0.808883049206665	mlp
SBS18	npv	0.9	-1.0771154	0.708723639518591	0.887414329788042	0.90000049042807	mlp
SBS19	precision	0.9	3.4568396	0.904109589041096	0.99	0.999998838884819	cnn
SBS19	npv	0.9	2042.8536	1	0.005	0.999883903175248	cnn
SBS22	precision	0.9	-0.13729858	0.900108577633008	0.690833333333333	0.999136134197626	mlp
SBS22	npv	0.9	3502.9473	1	0.000208333333333333	0.997213676205956	mlp
SBS23	precision	0.9	Inf	0.603603603603604	0	0	mlp
SBS23	npv	0.9	1.7967906	0.603603603603604	0.335	0.999883903175248	mlp
SBS24	precision	0.9	-4.61108	0.913312693498452	0.983333333333333	0.999997097035086	cnn
SBS24	npv	0.9	242.7747	1	0.00333333333333333	0.999825854762872	cnn
SBS26	precision	0.9	-5.2778296	0.974181360201511	0.998064516129032	0.999996510662253	mlp
SBS26	npv	0.9	4621.708	1	0.00032258064516129	0.998200499216346	mlp
SBS28	precision	0.9	-2.2454066	0.900033174831361	0.273120805369128	0.987359204695453	mlp
SBS28	npv	0.9	47.25385	1	3.35570469798658e-05	0.982701573111975	mlp
SBS30	precision	0.9	0.8436165	0.900584795321637	0.924	0.999955856941641	mlp
SBS30	npv	0.9	183.20424	1	0.001	0.999419515876241	mlp
SBS31	precision	0.9	0.13139868	0.900012534993524	0.398276722814933	0.980842587098415	mlp
SBS31	npv	0.9	200.0478	1	1.84900985522253e-05	0.96860567713473	mlp
SBS33	precision	0.9	-3.92271	0.900223380491437	0.93	0.999947134762205	mlp
SBS33	npv	0.9	167.26746	1	0.000769230769230769	0.999245370639113	mlp
SBS35	precision	0.9	Inf	0.000687976753209963	0	0	mlp
SBS35	npv	0.9	-5.388843	0.000687976753209963	0.970884658454647	0.999481627677483	mlp
SBS38	precision	0.9	-0.06894803	0.900059844404548	0.696812453669385	0.998091400452417	mlp
SBS38	npv	0.9	336.20563	1	9.26612305411416e-05	0.993735415336391	mlp
SBS40	precision	0.9	1.2924047	0.901408450704225	0.10675562969141	0.999378250614348	mlp
SBS40	npv	0.9	7.961872	1	0.000834028356964137	0.999303999535613	mlp
SBS44	precision	0.9	Inf	0.756599813432836	0	0	mlp
SBS44	npv	0.9	-0.19419733	0.756594136990135	0.989085365853659	0.961920241481395	mlp
SBS52	precision	0.9	3.3577762	0.904306220095694	0.945	0.999993033349357	mlp
SBS52	npv	0.9	322.28693	1	0.005	0.999883903175248	mlp
SBS88	precision	0.9	-0.37260735	0.900001685648947	0.85109910254571	0.981858294793647	mlp
SBS88	npv	0.9	21.713867	1	0.0940493838968326	0.900000058650992	mlp
SBS92	precision	0.9	-0.738869	0.900008100402443	0.675072338697396	0.967940827635697	mlp
SBS92	npv	0.9	21.89984	1	6.34549977156201e-06	0.908520345968538	mlp
SBS93	precision	0.9	2.0531883	0.900040633888663	0.434313725490196	0.998322327117146	mlp
SBS93	npv	0.9	177.75974	1	0.000196078431372549	0.997039530968828	mlp
SBS96	precision	0.9	-4.6770387	0.900584795321637	0.99	0.999991865960322	mlp
SBS96	npv	0.9	370.75162	1	0.000714285714285714	0.999187322226737	mlp
SBS109	precision	0.9	-2.4442952	0.9002849002849	0.216438356164384	0.996676246668983	mlp
SBS109	npv	0.9	86.51118	1	0.000136986301369863	0.995762465896558	mlp
SBS120	precision	0.9	0.086473465	0.900044742729306	0.165839502712328	0.970440413993127	mlp
SBS120	npv	0.9	15.023571	1	1.64883180266781e-05	0.964794218378127	mlp
SBS.A	precision	0.9	Inf	0.00067707134651251	0	0	mlp
SBS.A	npv	0.9	-5.130256	0.000676478794109666	0.885	0.999535612700993	mlp
SBS.D	precision	0.9	2.9046798	0.901785714285714	0.505	0.999942528368636	mlp
SBS.D	npv	0.9	439.61105	1	0.005	0.999883903175248	mlp
